title,movie_url,release_year,tomatometer_score,audience_score,scraped_at
Train Dreams,https://www.rottentomatoes.com/m/train_dreams,,95%,79%,2025-11-27 23:28:31
Frankenstein,https://www.rottentomatoes.com/m/frankenstein_2025,,86%,94%,2025-11-27 23:28:31
After the Hunt,https://www.rottentomatoes.com/m/after_the_hunt,,37%,38%,2025-11-27 23:28:31
Wicked,https://www.rottentomatoes.com/m/wicked_2024,,88%,95%,2025-11-27 23:28:31
If I Had Legs I'd Kick You,https://www.rottentomatoes.com/m/if_i_had_legs_id_kick_you,,93%,78%,2025-11-27 23:28:31
Bugonia,https://www.rottentomatoes.com/m/bugonia,,87%,84%,2025-11-27 23:28:31
Roofman,https://www.rottentomatoes.com/m/roofman,,86%,85%,2025-11-27 23:28:31
Champagne Problems,https://www.rottentomatoes.com/m/champagne_problems,,69%,62%,2025-11-27 23:28:31
Playdate,https://www.rottentomatoes.com/m/playdate_2025,,20%,59%,2025-11-27 23:28:31
The Roses,https://www.rottentomatoes.com/m/the_roses,,65%,79%,2025-11-27 23:28:31
Eddington,https://www.rottentomatoes.com/m/eddington,,68%,65%,2025-11-27 23:28:31
The Family Plan 2,https://www.rottentomatoes.com/m/the_family_plan_2,,38%,37%,2025-11-27 23:28:31
A HOUSE OF DYNAMITE,https://www.rottentomatoes.com/m/a_house_of_dynamite,,75%,77%,2025-11-27 23:28:31
Weapons,https://www.rottentomatoes.com/m/weapons,,93%,85%,2025-11-27 23:28:31
Regretting You,https://www.rottentomatoes.com/m/regretting_you,,28%,85%,2025-11-27 23:28:31
Good Fortune,https://www.rottentomatoes.com/m/good_fortune,,78%,81%,2025-11-27 23:28:31
Sisu,https://www.rottentomatoes.com/m/sisu_2022,,94%,88%,2025-11-27 23:28:31
Good Boy,https://www.rottentomatoes.com/m/good_boy_2025,,90%,82%,2025-11-27 23:28:31
The Conjuring: Last Rites,https://www.rottentomatoes.com/m/the_conjuring_last_rites,,58%,78%,2025-11-27 23:28:31
Zootopia,https://www.rottentomatoes.com/m/zootopia,,98%,92%,2025-11-27 23:28:31
Anniversary,https://www.rottentomatoes.com/m/anniversary_2025,,68%,79%,2025-11-27 23:28:31
The Long Walk,https://www.rottentomatoes.com/m/the_long_walk_2025,,88%,85%,2025-11-27 23:28:31
The Naked Gun,https://www.rottentomatoes.com/m/the_naked_gun_2025,,87%,73%,2025-11-27 23:28:31
The Fantastic Four: First Steps,https://www.rottentomatoes.com/m/the_fantastic_four_first_steps,,86%,90%,2025-11-27 23:28:31
Train Dreams,https://www.rottentomatoes.com/m/train_dreams,,95%,79%,2025-11-27 23:28:35
Frankenstein,https://www.rottentomatoes.com/m/frankenstein_2025,,86%,94%,2025-11-27 23:28:35
After the Hunt,https://www.rottentomatoes.com/m/after_the_hunt,,37%,38%,2025-11-27 23:28:35
Wicked,https://www.rottentomatoes.com/m/wicked_2024,,88%,95%,2025-11-27 23:28:35
If I Had Legs I'd Kick You,https://www.rottentomatoes.com/m/if_i_had_legs_id_kick_you,,93%,78%,2025-11-27 23:28:35
Bugonia,https://www.rottentomatoes.com/m/bugonia,,87%,84%,2025-11-27 23:28:35
Roofman,https://www.rottentomatoes.com/m/roofman,,86%,85%,2025-11-27 23:28:35
Champagne Problems,https://www.rottentomatoes.com/m/champagne_problems,,69%,62%,2025-11-27 23:28:35
Playdate,https://www.rottentomatoes.com/m/playdate_2025,,20%,59%,2025-11-27 23:28:35
The Roses,https://www.rottentomatoes.com/m/the_roses,,65%,79%,2025-11-27 23:28:35
Eddington,https://www.rottentomatoes.com/m/eddington,,68%,65%,2025-11-27 23:28:35
The Family Plan 2,https://www.rottentomatoes.com/m/the_family_plan_2,,38%,37%,2025-11-27 23:28:35
A HOUSE OF DYNAMITE,https://www.rottentomatoes.com/m/a_house_of_dynamite,,75%,77%,2025-11-27 23:28:35
Weapons,https://www.rottentomatoes.com/m/weapons,,93%,85%,2025-11-27 23:28:35
Regretting You,https://www.rottentomatoes.com/m/regretting_you,,28%,85%,2025-11-27 23:28:35
Good Fortune,https://www.rottentomatoes.com/m/good_fortune,,78%,81%,2025-11-27 23:28:35
Sisu,https://www.rottentomatoes.com/m/sisu_2022,,94%,88%,2025-11-27 23:28:35
Good Boy,https://www.rottentomatoes.com/m/good_boy_2025,,90%,82%,2025-11-27 23:28:35
The Conjuring: Last Rites,https://www.rottentomatoes.com/m/the_conjuring_last_rites,,58%,78%,2025-11-27 23:28:35
Zootopia,https://www.rottentomatoes.com/m/zootopia,,98%,92%,2025-11-27 23:28:35
Anniversary,https://www.rottentomatoes.com/m/anniversary_2025,,68%,79%,2025-11-27 23:28:35
The Long Walk,https://www.rottentomatoes.com/m/the_long_walk_2025,,88%,85%,2025-11-27 23:28:35
The Naked Gun,https://www.rottentomatoes.com/m/the_naked_gun_2025,,87%,73%,2025-11-27 23:28:35
The Fantastic Four: First Steps,https://www.rottentomatoes.com/m/the_fantastic_four_first_steps,,86%,90%,2025-11-27 23:28:35
Materialists,https://www.rottentomatoes.com/m/materialists,,78%,66%,2025-11-27 23:28:35
Black Phone 2,https://www.rottentomatoes.com/m/black_phone_2,,72%,83%,2025-11-27 23:28:35
Sinners,https://www.rottentomatoes.com/m/sinners_2025,,97%,96%,2025-11-27 23:28:35
Altered,https://www.rottentomatoes.com/m/altered_2025,,,,2025-11-27 23:28:35
In Your Dreams,https://www.rottentomatoes.com/m/in_your_dreams_2025,,86%,80%,2025-11-27 23:28:35
Shelby Oaks,https://www.rottentomatoes.com/m/shelby_oaks,,55%,54%,2025-11-27 23:28:35
Now You See Me,https://www.rottentomatoes.com/m/now_you_see_me,,51%,70%,2025-11-27 23:28:35
The Woman in Cabin 10,https://www.rottentomatoes.com/m/the_woman_in_cabin_10,,26%,32%,2025-11-27 23:28:35
A Very Jonas Christmas Movie,https://www.rottentomatoes.com/m/a_very_jonas_christmas_movie,,91%,78%,2025-11-27 23:28:35
"Oh, Hi!",https://www.rottentomatoes.com/m/oh_hi,,63%,65%,2025-11-27 23:28:35
Jurassic World Rebirth,https://www.rottentomatoes.com/m/jurassic_world_rebirth,,50%,70%,2025-11-27 23:28:35
KPop Demon Hunters,https://www.rottentomatoes.com/m/kpop_demon_hunters,,96%,99%,2025-11-27 23:28:35
Jingle Bell Heist,https://www.rottentomatoes.com/m/jingle_bell_heist,,60%,,2025-11-27 23:28:35
Caught Stealing,https://www.rottentomatoes.com/m/caught_stealing,,84%,83%,2025-11-27 23:28:35
Nobody 2,https://www.rottentomatoes.com/m/nobody_2,,77%,88%,2025-11-27 23:28:35
F1 The Movie,https://www.rottentomatoes.com/m/f1_the_movie,,82%,97%,2025-11-27 23:28:35
Superman,https://www.rottentomatoes.com/m/superman_2025,,83%,90%,2025-11-27 23:28:35
Freakier Friday,https://www.rottentomatoes.com/m/freakier_friday,,73%,91%,2025-11-27 23:28:35
Drop,https://www.rottentomatoes.com/m/drop_2025,,83%,79%,2025-11-27 23:28:35
28 Years Later,https://www.rottentomatoes.com/m/28_years_later,,89%,63%,2025-11-27 23:28:35
The Family Plan,https://www.rottentomatoes.com/m/the_family_plan,,29%,60%,2025-11-27 23:28:35
The Smashing Machine,https://www.rottentomatoes.com/m/the_smashing_machine_2025,,70%,74%,2025-11-27 23:28:35
A Merry Little Ex-Mas,https://www.rottentomatoes.com/m/a_merry_little_ex_mas,,43%,34%,2025-11-27 23:28:35
Ballad of a Small Player,https://www.rottentomatoes.com/m/ballad_of_a_small_player,,48%,52%,2025-11-27 23:28:35
The Holdovers,https://www.rottentomatoes.com/m/the_holdovers,,97%,92%,2025-11-27 23:28:35
